NAME,GEO_ID,COMM,COMM_LABEL,YEAR,VAL,TON,state,cfs area (or part)
1,'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2012', '0', '0', '01', '14200000'
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2041', 'Acyclic alcohols', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2041', 'Acyclic alcohols', '2017', '13', '12', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2042', 'Phenols, phenol-alcohols, aldehydes, cyclic polymers of aldehydes, paraformaldehyde, ketones, and quinones (excludes their derivatives)', '2012', '1279', '1010', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2042', 'Phenols, phenol-alcohols, aldehydes, cyclic polymers of aldehydes, paraformaldehyde, ketones, and quinones (excludes their derivatives)', '2017', '1738', '2101', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2043', 'Organic acids, their anhydrides, halides, peroxides, and peroxyacids, and their derivatives', '2012', '2', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2043', 'Organic acids, their anhydrides, halides, peroxides, and peroxyacids, and their derivatives', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '205', 'Organic chemicals, not elsewhere classified', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '205', 'Organic chemicals, not elsewhere classified', '2017', '593', '373', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2050', 'Organic chemicals, not elsewhere classified', '2017', '593', '373', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '210', 'Pharmaceutical products', '2012', '208', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2050', 'Organic chemicals, not elsewhere classified', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '21', 'Pharmaceutical products', '2012', '208', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '21', 'Pharmaceutical products', '2017', '288', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '210', 'Pharmaceutical products', '2017', '288', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2100', 'Pharmaceutical products', '2012', '208', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2100', 'Pharmaceutical products', '2017', '288', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '22', 'Fertilizers', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '22', 'Fertilizers', '2017', '26', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2202', 'Nitrogenous mineral or chemical fertilizers', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '220', 'Fertilizers and fertilizer materials', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '220', 'Fertilizers and fertilizer materials', '2017', '26', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2201', 'Animal or vegetable fertilizers and fertilizers produced by the mixing or chemical treating of animal or vegetable products', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2202', 'Nitrogenous mineral or chemical fertilizers', '2017', '3', '20', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2203', 'Phosphatic slag, and phosphatic mineral or chemical fertilizers', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2203', 'Phosphatic slag, and phosphatic mineral or chemical fertilizers', '2017', '9', '3', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2204', 'Potassium chloride, and potassic mineral or chemical fertilizers', '2017', '3', '6', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2209', 'Other fertilizers', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2209', 'Other fertilizers', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '23', 'Other chemical products and preparations, not elsewhere classified', '2017', '618', '208', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2312', 'Organic tanning extracts and coloring matter, tannins, and ink', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '23', 'Other chemical products and preparations, not elsewhere classified', '2012', '904', '131', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '231', 'Paints and varnishes, enamels, tanning or dyeing extracts, tannins and their derivatives, inks, lakes, toners, and ink', '2012', '59', '13', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '231', 'Paints and varnishes, enamels, tanning or dyeing extracts, tannins and their derivatives, inks, lakes, toners, and ink', '2017', '38', '5', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2311', 'Paints and varnishes', '2012', '59', '13', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2311', 'Paints and varnishes', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2312', 'Organic tanning extracts and coloring matter, tannins, and ink', '2017', '15', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '232', 'Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '232', 'Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations', '2017', '12', '2', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2320', 'Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2320', 'Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations', '2017', '12', '2', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '233', 'Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preps', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '233', 'Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preps', '2017', '34', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2330', 'Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preparations', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2330', 'Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preparations', '2017', '34', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '234', 'Photographic film, plates, paper, paperboard, or textiles, and chemical preps for photographic use', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2340', 'Photographic film, plates, paper, paperboard, or textiles, and chemical preps for photographic use', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '235', 'Insecticides, rodenticides, fungicides, herbicides, disinfectants, etc.', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '235', 'Insecticides, rodenticides, fungicides, herbicides, disinfectants, etc.', '2017', '358', '7', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2350', 'Insecticides, rodenticides, fungicides, herbicides, etc.', '2017', '358', '7', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2390', 'Other chemical products and preparations', '2012', '320', '71', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2350', 'Insecticides, rodenticides, fungicides, herbicides, etc.', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '239', 'Other chemical products and preparations, glues, prepared explosives, activated natural mineral products, anti-knock preparations,  etc.', '2012', '320', '71', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '239', 'Other chemical products and preparations, glues, prepared explosives, activated natural mineral products, anti-knock preparations,  etc.', '2017', '175', '166', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2390', 'Other chemical products and preparations', '2017', '175', '166', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '24', 'Plastics and rubber', '2012', '548', '208', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '24', 'Plastics and rubber', '2017', '687', '204', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2410', 'Plastics and rubber in primary forms  or in plates, sheets, or strip', '2017', '117', '49', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '241', 'Plastics and rubber in primary forms or sheets', '2012', '0', '19', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '241', 'Plastics and rubber in primary forms or sheets', '2017', '117', '49', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2410', 'Plastics and rubber in primary forms  or in plates, sheets, or strip', '2012', '0', '19', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '242', 'Manmade fibers and plastics basic shapes and articles', '2012', '0', '167', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '242', 'Manmade fibers and plastics basic shapes and articles', '2017', '409', '132', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2421', 'Manmade fibers and plastics in basic shapes', '2012', '0', '120', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2421', 'Manmade fibers and plastics in basic shapes', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2422', 'Manmade fibers and plastics articles, not elsewhere classified', '2012', '157', '47', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2422', 'Manmade fibers and plastics articles, not elsewhere classified', '2017', '125', '44', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '243', 'Rubber articles', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '243', 'Rubber articles', '2017', '161', '24', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2431', 'Tires and related products', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2431', 'Tires and related products', '2017', '122', '17', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2439', 'Other articles of rubber, not elsewhere classified', '2012', '11', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2439', 'Other articles of rubber, not elsewhere classified', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '25', 'Logs and other wood in the rough', '2012', '14', '33', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '25', 'Logs and other wood in the rough', '2017', '0', '8', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2509', 'Other logs and other wood in the rough', '2017', '0', '8', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '250', 'Logs and other wood in the rough', '2012', '14', '33', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '250', 'Logs and other wood in the rough', '2017', '0', '8', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2509', 'Other logs and other wood in the rough', '2012', '14', '33', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '26', 'Wood products', '2012', '528', '1183', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '26', 'Wood products', '2017', '684', '1020', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '262', 'Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes', '2017', '474', '810', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '261', 'Wood chips or particles', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2610', 'Wood chips or particles', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '262', 'Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes', '2012', '424', '1080', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2621', 'Lumber, untreated or treated', '2012', '354', '1008', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2621', 'Lumber, untreated or treated', '2017', '457', '797', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2622', 'Wood continuously shaped along any of its edges or faces and shingles and shakes', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2622', 'Wood continuously shaped along any of its edges or faces and shingles and shakes', '2017', '18', '14', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '263', 'Veneer sheets and sheets for plywood, particle board, fiberboard, plywood, and similar laminated wood', '2012', '14', '20', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '263', 'Veneer sheets and sheets for plywood, particle board, fiberboard, plywood, and similar laminated wood', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2631', 'Veneer sheets and sheets for plywood', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2632', 'Particle board, fiberboard, and similar board of wood or other ligneous materials', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2632', 'Particle board, fiberboard, and similar board of wood or other ligneous materials', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2633', 'Plywood, veneered panels, and similar laminated wood', '2012', '12', '18', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2633', 'Plywood, veneered panels, and similar laminated wood', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '264', "Windows, doors, thresholds, and builders' joinery and carpentry of wood (excludes shingles and shakes)", '2012', '53', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '264', "Windows, doors, thresholds, and builders' joinery and carpentry of wood (excludes shingles and shakes)", '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2640', 'Windows, doors, thresholds, and builders joinery and carpentry of wood (excludes shingles and shakes)', '2012', '53', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2640', 'Windows, doors, thresholds, and builders joinery and carpentry of wood (excludes shingles and shakes)', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '269', 'Other wood products', '2012', '37', '73', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '269', 'Other wood products', '2017', '43', '79', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '27', 'Pulp, newsprint, paper, and paperboard', '2017', '157', '144', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2690', 'Other wood products', '2012', '37', '73', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2690', 'Other wood products', '2017', '43', '79', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '27', 'Pulp, newsprint, paper, and paperboard', '2012', '88', '156', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '271', 'Pulp of fibrous cellulosic materials', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '271', 'Pulp of fibrous cellulosic materials', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '273', 'Uncoated paper, tissue, and paperboard in large rolls or sheets', '2017', '145', '137', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2719', 'Dissolving grades of chemical wood pulp, and other pulp of fibrous cellulosic materials, not elsewhere classified', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2719', 'Dissolving grades of chemical wood pulp, and other pulp of fibrous cellulosic materials, not elsewhere classified', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '273', 'Uncoated paper, tissue, and paperboard in large rolls or sheets', '2012', '88', '156', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2731', 'Uncoated paper, not elsewhere classified', '2012', '12', '6', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2731', 'Uncoated paper, not elsewhere classified', '2017', '79', '25', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2732', 'Uncoated paperboard in large rolls or sheet', '2012', '76', '150', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2732', 'Uncoated paperboard in large rolls or sheet', '2017', '65', '112', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '274', 'Coated, impregnated, treated, or worked paper and paperboard, in large rolls or sheets', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '274', 'Coated, impregnated, treated, or worked paper and paperboard, in large rolls or sheets', '2017', '3', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2741', 'Coated, impregnated, treated, or worked paper in large rolls or sheet', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2741', 'Coated, impregnated, treated, or worked paper in large rolls or sheet', '2017', '3', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2742', 'Coated, impregnated, treated, or worked paperboard in large rolls or sheet', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '28', 'Paper or paperboard articles', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '28', 'Paper or paperboard articles', '2017', '35', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2801', 'Toilet paper, facial tissues, paper towels and napkins, sanitary napkins, and similar paper articles', '2017', '19', '5', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '280', 'Paper or paperboard articles', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '280', 'Paper or paperboard articles', '2017', '35', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2801', 'Toilet paper, facial tissues, paper towels and napkins, sanitary napkins, and similar paper articles', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2802', 'Packing containers of paper, paperboard, cellulose wadding, or webs of cellulose fiber', '2012', '175', '337', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2802', 'Packing containers of paper, paperboard, cellulose wadding, or webs of cellulose fiber', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2809', 'Wallpaper and similar wall coverings, envelopes, letter cards, plain postcards, and other paper or paperboard articles, not elsewhere classified', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2809', 'Wallpaper and similar wall coverings, envelopes, letter cards, plain postcards, and other paper or paperboard articles, not elsewhere classified', '2017', '1', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '29', 'Printed products', '2012', '78', '74', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '29', 'Printed products', '2017', '46', '2', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2910', 'Printed books, brochures, leaflets, and similar printed products', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '291', 'Printed books, brochures, leaflets, and similar printed products', '2012', '0', '3', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '291', 'Printed books, brochures, leaflets, and similar printed products', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2910', 'Printed books, brochures, leaflets, and similar printed products', '2012', '0', '3', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '292', 'Newspapers, journals, and periodicals', '2012', '11', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '292', 'Newspapers, journals, and periodicals', '2017', '1', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2921', 'Newspapers', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2922', 'Journals and periodicals', '2012', '11', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2922', 'Journals and periodicals', '2017', '1', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '293', 'Advertising material, commercial or trade catalogues, and similar printed products', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '293', 'Advertising material, commercial or trade catalogues, and similar printed products', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2930', 'Advertising material, commercial or trade catalogues, and similar printed products', '2012', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2930', 'Advertising material, commercial or trade catalogues, and similar printed products', '2017', '0', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '299', 'Other printed products', '2012', '27', '70', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '299', 'Other printed products', '2017', '0', '1', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2999', 'Manifold business-forms and interleaved carbon-sets, and other printed products, not elsewhere classified', '2017', '3', '0', '01', '38000000']
['Mobile-Daphne-Fairhope, AL CFS Area; Alabama; Alabama', 'E330000US0138000000', '2991', 'Printed or illustrated postcards, messages, or announcements, and printed', '2012', '0', '0', '01', '38000000']
